epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.6394,1.68906,4.81679,1.65297,0.01506,0.07459,0.01162,0.00888,1.07161,4.44285,1.15694,5.09056e-05,5.09056e-05,5.09056e-05
2,110.712,1.31888,4.41593,1.36512,0.3188,0.08929,0.07153,0.04134,1.17946,4.00475,1.26058,9.71781e-05,9.71781e-05,9.71781e-05
3,162.445,1.32659,3.96564,1.40682,0.3591,0.18261,0.20505,0.14247,1.14356,3.57656,1.24023,0.000138369,0.000138369,0.000138369
4,215.195,1.387,3.49707,1.47244,0.36424,0.31862,0.28918,0.18553,1.26183,3.01303,1.31517,0.000131131,0.000131131,0.000131131
5,267.698,1.40649,3.06077,1.49431,0.44571,0.42812,0.41519,0.26866,1.26487,2.47478,1.34775,0.000123508,0.000123508,0.000123508
6,319.27,1.39126,2.73594,1.4866,0.50219,0.47567,0.51163,0.33683,1.25049,2.24787,1.30928,0.000115885,0.000115885,0.000115885
7,374.093,1.37977,2.51864,1.49533,0.53027,0.56985,0.60376,0.39084,1.22551,1.88425,1.32194,0.000108262,0.000108262,0.000108262
8,426.663,1.3514,2.32562,1.47615,0.58418,0.58142,0.64057,0.41616,1.26516,1.7756,1.34073,0.000100639,0.000100639,0.000100639
9,478.028,1.31495,2.1512,1.44428,0.62294,0.6516,0.69024,0.44655,1.27814,1.54663,1.32636,9.3016e-05,9.3016e-05,9.3016e-05
10,530.511,1.31333,2.04682,1.44559,0.63866,0.66771,0.69575,0.43919,1.25064,1.43037,1.33231,8.5393e-05,8.5393e-05,8.5393e-05
11,577.943,1.19045,1.68646,1.44895,0.64267,0.66053,0.72612,0.45908,1.34726,1.39192,1.35069,7.777e-05,7.777e-05,7.777e-05
12,623.664,1.14982,1.56408,1.40968,0.69161,0.73953,0.77654,0.49203,1.28633,1.23241,1.30202,7.0147e-05,7.0147e-05,7.0147e-05
13,668.428,1.14222,1.49445,1.39503,0.71126,0.72752,0.77864,0.51346,1.21703,1.19403,1.28272,6.2524e-05,6.2524e-05,6.2524e-05
14,713.17,1.11041,1.42175,1.37084,0.7418,0.7078,0.79675,0.5103,1.22928,1.1355,1.28843,5.4901e-05,5.4901e-05,5.4901e-05
15,758.023,1.08962,1.36609,1.35956,0.73771,0.76038,0.79164,0.50749,1.26721,1.1198,1.29994,4.7278e-05,4.7278e-05,4.7278e-05
16,802.831,1.07406,1.32326,1.34602,0.78801,0.7616,0.81766,0.51089,1.29013,1.0803,1.3274,3.9655e-05,3.9655e-05,3.9655e-05
17,849.476,1.06207,1.27434,1.33068,0.76379,0.76915,0.82006,0.52908,1.2507,1.06652,1.29229,3.2032e-05,3.2032e-05,3.2032e-05
18,894.272,1.04348,1.25687,1.31935,0.77619,0.77601,0.82891,0.529,1.2265,1.03933,1.29187,2.4409e-05,2.4409e-05,2.4409e-05
19,938.998,1.03397,1.22176,1.3129,0.76617,0.77694,0.82623,0.53421,1.23721,1.02549,1.2891,1.6786e-05,1.6786e-05,1.6786e-05
20,983.698,1.01396,1.20208,1.30023,0.78255,0.787,0.82939,0.53505,1.23959,1.01874,1.29548,9.163e-06,9.163e-06,9.163e-06
