epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.4758,1.33871,4.69139,1.28997,0.04209,0.07235,0.02657,0.01874,1.10417,4.34229,1.13004,5.08491e-05,5.08491e-05,5.08491e-05
2,96.4615,1.218,4.21982,1.20359,0.51838,0.08471,0.09277,0.06433,1.16599,3.98434,1.22407,9.71244e-05,9.71244e-05,9.71244e-05
3,143.477,1.28432,3.63264,1.29526,0.37098,0.23852,0.21934,0.15023,1.22239,3.497,1.29376,0.000138318,0.000138318,0.000138318
4,191.864,1.3502,2.9966,1.37983,0.41851,0.3717,0.32647,0.2113,1.29457,3.04871,1.39844,0.000131131,0.000131131,0.000131131
5,239.132,1.32401,2.52647,1.35597,0.48182,0.43845,0.42831,0.27202,1.40427,2.62405,1.50676,0.000123508,0.000123508,0.000123508
6,286.949,1.29306,2.1582,1.34896,0.50496,0.51472,0.50674,0.31373,1.45443,2.28341,1.59639,0.000115885,0.000115885,0.000115885
7,334.02,1.27515,1.94437,1.33688,0.55747,0.55608,0.60381,0.37886,1.37313,1.99277,1.50928,0.000108262,0.000108262,0.000108262
8,381.288,1.25083,1.77633,1.32026,0.59396,0.61896,0.62887,0.39261,1.37773,1.8568,1.50264,0.000100639,0.000100639,0.000100639
9,429.503,1.24138,1.63452,1.32047,0.61341,0.63296,0.65057,0.40364,1.41656,1.75184,1.51788,9.3016e-05,9.3016e-05,9.3016e-05
10,478.072,1.20149,1.55562,1.29537,0.66246,0.67321,0.71357,0.45143,1.35874,1.49862,1.45655,8.5393e-05,8.5393e-05,8.5393e-05
11,522.394,1.09807,1.29009,1.29181,0.65067,0.71131,0.73201,0.46414,1.3194,1.44977,1.4281,7.777e-05,7.777e-05,7.777e-05
12,564.82,1.07817,1.211,1.26727,0.75251,0.71229,0.76861,0.47163,1.36891,1.38489,1.45556,7.0147e-05,7.0147e-05,7.0147e-05
13,607.126,1.05374,1.15548,1.26034,0.71982,0.74715,0.78149,0.49001,1.35588,1.27509,1.45251,6.2524e-05,6.2524e-05,6.2524e-05
14,649.459,1.03619,1.1094,1.24139,0.75189,0.73568,0.79832,0.49149,1.38606,1.30503,1.4471,5.4901e-05,5.4901e-05,5.4901e-05
15,691.765,1.0208,1.08165,1.22958,0.77945,0.7367,0.7949,0.48923,1.38878,1.28066,1.45413,4.7278e-05,4.7278e-05,4.7278e-05
16,734.195,1.00518,1.04441,1.22064,0.7665,0.77147,0.79933,0.49462,1.39579,1.23089,1.46336,3.9655e-05,3.9655e-05,3.9655e-05
17,776.877,0.98186,1.02048,1.20563,0.7996,0.77315,0.81787,0.509,1.37176,1.19795,1.44685,3.2032e-05,3.2032e-05,3.2032e-05
18,819.217,0.96944,1.00256,1.19211,0.78201,0.78251,0.82211,0.50196,1.42836,1.21211,1.48234,2.4409e-05,2.4409e-05,2.4409e-05
19,861.598,0.95809,0.98435,1.18481,0.80178,0.77052,0.83024,0.51963,1.38195,1.17846,1.45361,1.6786e-05,1.6786e-05,1.6786e-05
20,904.199,0.94388,0.96847,1.17539,0.80399,0.77062,0.82119,0.51323,1.38368,1.17653,1.45831,9.163e-06,9.163e-06,9.163e-06
