epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.611,1.37681,3.21655,1.47169,0.44592,0.51391,0.51341,0.33082,1.27459,2.30349,1.48447,5.08491e-05,5.08491e-05,5.08491e-05
2,194.028,1.20361,1.54603,1.32205,0.73423,0.68437,0.74479,0.48466,1.23299,1.47554,1.43188,9.71244e-05,9.71244e-05,9.71244e-05
3,291.619,1.18071,1.21224,1.3235,0.7276,0.78043,0.79258,0.5039,1.31498,1.28099,1.48398,0.000138318,0.000138318,0.000138318
4,390.878,1.15585,1.07359,1.30583,0.77179,0.79624,0.82953,0.5356,1.2289,1.04601,1.48665,0.000131131,0.000131131,0.000131131
5,487.663,1.12203,0.94672,1.28856,0.80841,0.82941,0.88364,0.5667,1.21504,0.95792,1.45162,0.000123508,0.000123508,0.000123508
6,584.421,1.11151,0.88793,1.28134,0.80485,0.85561,0.88139,0.5774,1.24404,0.87605,1.4598,0.000115885,0.000115885,0.000115885
7,680.951,1.08453,0.83766,1.25236,0.83957,0.86539,0.88423,0.57015,1.20889,0.87084,1.43466,0.000108262,0.000108262,0.000108262
8,777.267,1.07102,0.79936,1.25077,0.84593,0.89089,0.91599,0.58855,1.233,0.78108,1.44772,0.000100639,0.000100639,0.000100639
9,873.996,1.05871,0.76982,1.24363,0.88563,0.89065,0.92121,0.60801,1.19061,0.7682,1.42987,9.3016e-05,9.3016e-05,9.3016e-05
10,970.072,1.03584,0.72828,1.23197,0.87836,0.88445,0.90624,0.58992,1.25069,0.73926,1.46798,8.5393e-05,8.5393e-05,8.5393e-05
11,1066.4,0.96164,0.59414,1.24407,0.85931,0.90906,0.92125,0.60474,1.17923,0.71475,1.4318,7.777e-05,7.777e-05,7.777e-05
12,1161.92,0.94599,0.56054,1.22788,0.87743,0.90124,0.91811,0.59923,1.23599,0.69242,1.46902,7.0147e-05,7.0147e-05,7.0147e-05
13,1257.2,0.93034,0.5287,1.22527,0.89192,0.90934,0.92825,0.60964,1.24121,0.66364,1.45602,6.2524e-05,6.2524e-05,6.2524e-05
14,1353.26,0.907,0.51398,1.20213,0.90258,0.9149,0.94717,0.6202,1.23278,0.63541,1.45432,5.4901e-05,5.4901e-05,5.4901e-05
15,1449.52,0.87811,0.48487,1.18245,0.89224,0.91247,0.93618,0.61761,1.24316,0.63881,1.46593,4.7278e-05,4.7278e-05,4.7278e-05
16,1545.51,0.85369,0.46455,1.17108,0.89671,0.92618,0.9492,0.62651,1.23365,0.6132,1.46534,3.9655e-05,3.9655e-05,3.9655e-05
17,1645.81,0.82901,0.44556,1.15336,0.91616,0.94043,0.9619,0.63182,1.24844,0.58136,1.48134,3.2032e-05,3.2032e-05,3.2032e-05
18,1744.48,0.80938,0.4265,1.13311,0.91981,0.92018,0.95637,0.63231,1.25678,0.59224,1.47563,2.4409e-05,2.4409e-05,2.4409e-05
19,1840.21,0.79182,0.41328,1.12258,0.90373,0.94058,0.95651,0.63054,1.24977,0.58265,1.47884,1.6786e-05,1.6786e-05,1.6786e-05
20,1936.03,0.77751,0.4029,1.11173,0.91331,0.92897,0.95629,0.63252,1.25081,0.57765,1.48271,9.163e-06,9.163e-06,9.163e-06
